,Product Name,Description,Price,Ratings,Brand,Model,Processor,Display Size,RAM,Storage,GPU,OS,Warranty
424,ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home...,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"₹67,699",4.3,ASUS,Vivobook Pro 15,AMD Ryzen 7,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
425,Apple MacBook Pro Apple M3 Pro - (18 GB/512 GB SSD/macOS Sonoma) MRX63HN/A,"Apple M3 Pro Processor18 GB Unified Memory RAMMac OS Operating System512 GB SSD35.56 cm (14 Inch) DisplayBuilt-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Limited Warranty","₹1,86,990",4.8,Apple,MacBook Pro Apple,Other,35.56 cm,18 GB ,512 GB SSD,Not Found,Not Found,1 Year Limited Warranty
426,Apple MacBook Pro Apple M3 - (8 GB/512 GB SSD/macOS Sonoma) MR7J3HN/A,"Apple M3 Processor8 GB Unified Memory RAMMac OS Operating System512 GB SSD35.56 cm (14 Inch) DisplayBuilt-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos1 Year Limited Warranty","₹1,58,990",4.5,Apple,MacBook Pro Apple,Other,35.56 cm,8 GB ,512 GB SSD,Not Found,Not Found,1 Year Limited Warranty
427,HP AMD Ryzen 3 Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 15s-ey1508AU Thin and Light Laptop,AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Home Operating System256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty,"₹29,990",,HP,AMD Ryzen 3,AMD Ryzen 3,39.62 cm,8 GB DDR4,256 GB SSD,Not Found,Windows 11 Home,1 Year Onsite Warranty
428,DELL Intel Core i5 12th Gen 1235U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) New Inspiron 15 Laptop ...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Hardware Service,"₹52,857",4.1,DELL,Intel Core i5,Intel Core i5,39.62 cm,8 GB DDR4,256 GB SSD,Not Found,Windows 11,1 Year Onsite Hardware Service
429,ASUS Zenbook S 13 OLED AI PC Intel Core Ultra 7 155U - (32 GB/1 TB SSD/Windows 11 Home) UX5304MA-NQ761...,Intel Core Ultra 7 Processor32 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD33.78 cm (13.3 Inch) Display1 Year Onsite warranty,"₹1,44,327",,ASUS,Zenbook S 13,Other,33.78 cm,32 GB LPDDR5,1 TB SSD,Not Found,Windows 11,1 Year Onsite warranty
430,HP Envy x360 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) 15-fe0027TU Laptop,Intel Core i5 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Touchscreen Display1 Year Onsite Warranty,"₹74,390",4.5,HP,Envy x360 Intel,Intel Core i5,39.62 cm,16 GB LPDDR5,512 GB SSD,Not Found,Windows 11,1 Year Onsite Warranty
431,HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0221TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,"₹55,990",4.1,HP,Intel Core i5,Intel Core i5,39.62 cm,16 GB DDR4,512 GB SSD,Not Found,Windows 11,1 Year Onsite warranty
432,ASUS TUF Gaming A17 AMD Ryzen 7 Octa Core 4800H - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Grap...,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD43.94 cm (17.3 inch) Display1 Year Onsite Warranty,"₹1,16,990",4.2,ASUS,TUF Gaming A17,AMD Ryzen 7,43.94 cm,16 GB DDR4,256 GB SSD,Not Found,Windows 10,1 Year Onsite Warranty
433,Ultimus Neo Intel Core i3 10th Gen 1035G4 - (8 GB/256 GB SSD/Windows 11 Home) NU14U3INT54BN-SG Thin an...,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD35.81 cm (14.1 Inch) DisplayPre loaded windows APP1 Year Manufacturing Warranty,"₹21,990",3.9,Ultimus,Neo Intel Core,Intel Core i3,35.81 cm,8 GB DDR4,256 GB SSD,Not Found,Windows 11,1 Year Manufacturing Warranty
